,ID,DATE,TEMPERATURE
0,1975,2014-01-01 00:00:00,2.1
1,1975,2014-01-01 01:00:00,2.0
2,1975,2014-01-01 02:00:00,2.1
3,1975,2014-01-01 03:00:00,1.6
4,1975,2014-01-01 04:00:00,1.4
5,1975,2014-01-01 05:00:00,1.8
6,1975,2014-01-01 06:00:00,2.4
7,1975,2014-01-01 07:00:00,2.8
8,1975,2014-01-01 08:00:00,3.1
9,1975,2014-01-01 09:00:00,4.0
10,1975,2014-01-01 10:00:00,4.8
11,1975,2014-01-01 11:00:00,5.4
12,1975,2014-01-01 12:00:00,5.9
13,1975,2014-01-01 13:00:00,6.2
14,1975,2014-01-01 14:00:00,6.6
15,1975,2014-01-01 15:00:00,5.8
16,1975,2014-01-01 16:00:00,4.7
17,1975,2014-01-01 17:00:00,4.0
18,1975,2014-01-01 18:00:00,3.3
19,1975,2014-01-01 19:00:00,2.9
20,1975,2014-01-01 20:00:00,2.9
21,1975,2014-01-01 21:00:00,2.6
22,1975,2014-01-01 22:00:00,2.4
23,1975,2014-01-01 23:00:00,2.1
24,1975,2014-01-02 00:00:00,2.7
25,1975,2014-01-02 01:00:00,3.0
26,1975,2014-01-02 02:00:00,3.6
27,1975,2014-01-02 03:00:00,4.0
28,1975,2014-01-02 04:00:00,4.4
29,1975,2014-01-02 05:00:00,4.6
30,1975,2014-01-02 06:00:00,4.8
31,1975,2014-01-02 07:00:00,5.0
32,1975,2014-01-02 08:00:00,5.1
33,1975,2014-01-02 09:00:00,5.4
34,1975,2014-01-02 10:00:00,5.7
35,1975,2014-01-02 11:00:00,6.1
36,1975,2014-01-02 12:00:00,6.5
37,1975,2014-01-02 13:00:00,7.0
38,1975,2014-01-02 14:00:00,7.3
39,1975,2014-01-02 15:00:00,7.8
40,1975,2014-01-02 16:00:00,7.8
41,1975,2014-01-02 17:00:00,8.0
42,1975,2014-01-02 18:00:00,8.6
43,1975,2014-01-02 19:00:00,8.9
44,1975,2014-01-02 20:00:00,8.4
